,index,artist,album,song,lyrics
17,104,Imagine Dragons,Mercury - Acts 1 & 2,Giants,"take a hit of anything to escape it all, i'm suffocating a sharpened blade of reality sometimes i wanna hurt me  i know it's hard to hear, but i'm waiting for the new year don't wanna waste my life chasing white try to swim towards the light  coming up for air in the deepest of the deep ends i thought i'd learned it all, but boom, the plot thickens sleeping with giants, i'm tiptoeing quietly feeling it all, it's sobriety  la-la-la-la-la-la-la-la got so tired of feeling numb la-la-la-la-la-la-la-la well, take a look what i've become sleeping with giants, i'm tiptoeing quietly ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
18,105,Imagine Dragons,Mercury - Acts 1 & 2,It's Ok,"she could always hear every word they say everybody walks like they just know the way every single day, holding back the tears she'd never say a word 'cause there's nobody that hears  it's okay to be not okay it's just fine to be out of your mind breathe in deep, just a day at a time 'cause it's okay to be out of your mind, mind  mine is broken how is yours? sure, it helps to hear the news and political discourse fear, that is what he felt ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
19,106,Imagine Dragons,Mercury - Acts 1 & 2,Dull Knives,"i'm holding my breath, holding so tight nothing is wrong, nothing is right i'm in the dark, looking for light won't someone please save my life? inside, i'm a mess, but i don't let it show i'm just hanging on, but you'd never know i smile all day, and cry through the night won't someone please save my life is fleeting  dull knives taking my life a slow burn fire from the inside dull knives twisting my spine they're taking their time, time ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
20,107,Imagine Dragons,Mercury - Acts 1 & 2,Follow You,"you know i got your number, number all night i'm always on your team, i got your back, alright taking those, taking those losses if it treats you right i wanna put you into the spotlight  if the world would only know what you've been holding back heart attacks every night oh, you know it's not right  i will follow you way down wherever you may go i'll follow you way down to your deepest low i'll always be around wherever life takes you you know i'll follow you  call you up, you've been crying, crying all night you're only disappointed in yourself, alright ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
21,108,Imagine Dragons,Mercury - Acts 1 & 2,Cutthroat,"i've been waiting patiently i built this tower quietly and when my well of wellbutrin is running dry of serotonin i can say things i don't mean or maybe it's the truth in me i feel it building, bubbling up my t-t-time is up  i'm so misunderstood, but i live for this my money's good and i came to win so step on up, and i promise you only one of us gon' make it out alive and it's not you (cutthroat) only one of us only one of us gon' make it out alive and it's not you (cutthroat) only one of us only one of us gon' make it out alive  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
22,109,Imagine Dragons,Mercury - Acts 1 & 2,No Time For Toxic People,"the way they look at me i know exactly what they talk about when i'm not around got no time for that as a matter fact every day's my birthday oh, i hope you heard me  take a look outside, it's a beautiful day, yeah yeah, it's a beautiful day, yeah i'm gonna keep it that way, that way, ayy take a real good look, it's a beautiful day, yeah yeah, it's a beautiful day, yeah i'm gonna keep it that way, that way, ayy  so spend your hours on what you think i've done wrong ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
23,110,Imagine Dragons,Mercury - Acts 1 & 2,One Day,"i know that one day i'll be that one thing that makes you happy i know i keep you laughin' your sun on a cloudy day the feel of a perfect wave is crashin' upon your face yeah, i know that one day, one day  birds outside will sing me a song tonight i know that it's right on time, time (twee-da-da-da) life flies by the moon and the midnight sky's guidin' me to your side, side  i know that one day i'll be that one thing that makes you happy ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
24,111,Imagine Dragons,Mercury - Acts 1 & 2,Bones,"gimme, gimme, gimme some time to think i'm in the bathroom, looking at me face in the mirror is all i need (ooh) wait until the reaper takes my life never gonna get me out alive i will live a thousand million lives (ooh)  my patience is waning, is this entertaining? our patience is waning, is this entertaining?  i got this feeling, yeah, you know where i'm losing all control 'cause there's magic in my bones i got this feeling in my soul go ahead and throw your stones 'cause there's magic in my bones  playing with a stick of dynamite there was never gray in black and white there was never wrong 'til there was right (ooh, ah-ooh) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
25,112,Imagine Dragons,Mercury - Acts 1 & 2,Symphony,"ever since i was young (coming up, coming up) always marching to a drum (bra-da-dum, bra-da-dum) always focused on me (one-one, one-one) now i wish that i could hold (someone, someone)  so tell my mom i love her, call my baby sister should've hugged and kissed her 'cause life is just a mystery and it's gone before you know it so if you love me, won't you show it, uh?  'cause this life is one big symphony this night is one for you and me i'm the strings and you're the timpani you're my constant tambourine this life is one big symphony so glad i've got you next to me i'm the chords and you're the melody this life's one big symphony  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
26,113,Imagine Dragons,Mercury - Acts 1 & 2,Sharks,"trouble, blood is in the rocky waters hide away your sons and daughters, eat you alive levels, better put your head on swivels dancing with the very devil, butter to knife  you think you're better than them, better than them you think they're really your friends, really your friends but when it comes to the end, to the end you're just the same as them, same as them  so, let it go, let it go, that's the way that it goes first, you're in, then you're out, everybody knows you're hot, then you're cold, you're a light in the dark just you wait, and you'll see that you're swimming with sharks  he's comin' to get you chick-chicka-whoop-whoop he's comin' to get you, get you chicka-whoop  bubbles, drowning, you're seeing doubles don't you let them see your struggles, hiding your tears crisis, take advantage of your niceness ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
27,114,Imagine Dragons,Mercury - Acts 1 & 2,I Don't Like Myself,"one day, i'll change my ways 'til then i'm stuck in this space shut down and hiding my face tuned out and losing my faith  stand up, tired of being a victim you only on the outs if you with 'em only hurts if you give 'em credence (uh) give 'em reasons (uh) they're not better than you they're just a figment of imagination  there are times when i don't like myself i believe all the things that they say about me i wanna love myself, just like everyone else but there are times when i don't like myself  this life is beating me down ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
28,115,Imagine Dragons,Mercury - Acts 1 & 2,Blur,"i'm always looking for something i can't afford something to work for i don't know if it's healthy oh god, help me i wanna be satisfied with what i have  i'm always chasing higher placement this bump is not enough and when i (hoo) hit the pavement oh, don't save me i'm such a waste of space  i'm always waiting for the weekend i'm always hoping for a reset i will be happy when i'm older why is everything never good enough for me? why is everything never...? ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
29,116,Imagine Dragons,Mercury - Acts 1 & 2,Higher Ground,"i know when my day will come go back to the place that i came from looking back, will i think that i did the right? i still don't sleep at night i got these symphonies stuck in my head and they don't leave fillin' up the silence with these notes i don't want them to go  ghosts follow me around these days haunting my head and house my mind is crazy loud but i won't give in to it take it all in stride  this life is such a ride, i live until i die i walk into the fire i'm searching for the higher ground what a life, i live until i die won't fail unless i try i'm searching for the higher ground  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
30,117,Imagine Dragons,Mercury - Acts 1 & 2,Crushed,"i suppose she's supposed to be exactly what they want her to be so pretty and pink, necklace and ring don't be heard, just be seen but that's not who i am  she said, ""i can feel, i can feel too much and i wish they'd go away, go away 'cause it's crushing me it's crushing me""  don't you know that you don't have a say? and the scarlet ""a"" on your neck so pretty in red, eyes are all dead what they haven't said gets stuck in your head ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
31,118,Imagine Dragons,Mercury - Acts 1 & 2,Take It Easy,"last week i came to you i didn't know what to do yeah, man, sometimes i lie but sometimes i can tell the truth i want my money back life's one big heart attack yeah, man, my throat is dry someday everybody's gonna die  take it easy on me i need some lullabies they tell me heaven's just a lie well, i'm not surprised tell me that you know, no, you don't yeah, you're just like me can't we just all hope for the best? take it easy  money don't grow on trees ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
32,119,Imagine Dragons,Mercury - Acts 1 & 2,Waves,"21 years, she figured it out she started a job, she's feeling it out and for once, it feels right was feeling like the prime of her life  but all of that is just a dream shattered now, and everything's changed with one car and one night it's driving through the prime of your life  took your freedom, there's no reason just keep breathing time doesn't hear if you ask it to wait  la, da-da-da-da, la, da-da-da-da so own all your tears and just roll with the waves la, da-da-da-da, la, da-da-da-da life, it could change, it could change in a day la, da-da-da-da, la, da-da-da-da ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
33,120,Imagine Dragons,Mercury - Acts 1 & 2,I'm Happy,"happy, happy, happy, happy happy, happy, happy, happy  what's wrong with me? is there somebody else inside my head that doesn't want me to be happy? i know my rights, i live until i die i've got this bed each night i go to sleep and dream  i'm swimming in the deep end you're my buoy and i'm sinking life flies by me, but i'm thinking you saved my life and now  i'm happy 'cause finally i feel i got it all started out with nothing at all and even when i might fall down i know my luck come back around ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
34,121,Imagine Dragons,Mercury - Acts 1 & 2,Ferris Wheel,he's never gonna treat you right i'm sure he's never gonna kiss you like he should he's never gonna tuck you in at night you've always been afraid to settle down and i don't even blame you 'cause look how these boys are now  promise that i'll make you feel like we're on a ferris wheel we're always young and innocent i promise you when things get hard our love will be strong enough i know we'll last i'm confident  i don't mean to speak in fairy tales ...  ******* this lyrics is not for commercial use ******* (1409624953635)
35,122,Imagine Dragons,Mercury - Acts 1 & 2,Peace Of Mind,"i had a dream that i lost everything (everything) all that i'd worked for was gone, goodness me (goodness me) but i felt the same as i do right now everything is meaningless, at least that's how it feels (feels real bad)  try as i might, i can't get no peace of mind i try every time, but can't get no peace of mind (mind)  i've got so much to be happy about (happy about) i'm always focused on things that amount to nothing ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
36,123,Imagine Dragons,Mercury - Acts 1 & 2,Sirens,"fall right down to the bottom boy with a motto stay, but i oughta leave, and trust me my heart bleeds i feel everything, i drip, drop, drink out of the bottle boy with a heart of gold get run over by heaven knows what weary soldier, i get older life gets colder  sometimes, i get a little bit scared at night i get a little preoccupied the sirens in my mind the sirens in my mind ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
37,124,Imagine Dragons,Mercury - Acts 1 & 2,Tied,"all this time i've spent with you all that we've been through still, we're holding on all this time i've spent with you i am tied to you  you call me up just to say you think we're better off this way leaves may fall, seasons change yet we remain  a year away, a year alone the tears have fall, but we have grown the sun will rise, the seasons change (change) and here we are  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
38,125,Imagine Dragons,Mercury - Acts 1 & 2,Younger,"seems there's something in the air today it's got me feeling, oh, a certain way seems like lately, i've been on the run it's got me reeling every night i'm done  keep thinking, what am i supposed to do? my body's not working like it used to and these bills keep piling up on me remember when i had no responsibilities  so take me back when i was younger and i was still hungry, uh-huh take me back when i was younger yeah, i got the world at my feet just try and stop me (just try and stop me) yeah, take me back when i was younger  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
39,126,Imagine Dragons,Mercury - Acts 1 & 2,I Wish,"i never called you and now it's too late to say all the words that i've wanted to say the doctor said, ""oh, there's a fight up ahead"" i should've been there by your hospital bed  so, it rains every day oh, it rains every day no, i haven't got the words to say  oh, how i wish i was a better friend before it was too late i wish that i would've been there in the end i wish i was a better friend ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
40,127,Imagine Dragons,Mercury - Acts 1 & 2,Continual (feat. Cory Henry),"take my word i promise you, i'll come through take my word i promise you, i'll be true  i'm there for you, ah i'm there for you, ah i'm there for you, ah i promise you, i'll come through i'm your continual truth  speak no lies, i just wanna hear the truth i'm done with all the miracles, except for you is it my fault if i'm something of a skeptic? i've been burned before, except by you  so take my word ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
41,128,Imagine Dragons,Mercury - Acts 1 & 2,They Don't Know You Like I Do,"he was never gonna make it every pill he found, he'd take it always on the edge of breakdowns but keeping it together somehow just another cold november you called me, but i didn't answer i was so oblivious now i'm asking for forgiveness  for every single time i failed you i'm feeling like it's me that killed you remembering the time they jumped you and i was too scared to help you looking back, i can't erase it i guess it's time to face it you never seem to know how to let it all go  don't listen to a single word they say about you they don't know you like i do don't listen to a single word they say about you they don't know you like i do  everybody saw you smiling yeah, you were always good at hiding ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
42,129,Imagine Dragons,Origins (Deluxe),Natural,"will you hold the line when every one of them has given up and given in? tell me in this house of mine nothing ever comes without a consequence or cost, tell me will the stars align? will heaven step in? will it save us from our sin, will it? 'cause this house of mine stands strong  that's the price you pay leave behind your heart and cast away just another product of today rather be the hunter than the prey and you're standing on the edge, face up  'cause you're a natural a beating heart of stone you gotta be so cold to make it in this world  yeah, you're a natural living your life cutthroat you gotta be so cold ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
43,130,Imagine Dragons,Origins (Deluxe),Boomerang,"how many lies do we have to tell? to keep from saying that i wish you well how many times i said i'm moving on? how many times that false alarm goes off (goes off), goes off (goes off)?  i know, i'll see you tomorrow  'cause i'm bad at letting you go, letting you go letting you go, letting you go moving on, moving on moving on, moving on i'm ready to go, ready to go ready to throw, ready to throw you're my boomerang, boomerang you're my boomerang, boomerang  how many tears do we have to cry? how many sleepless, lonely nights? to work it out, is it worth it now? ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
44,131,Imagine Dragons,Origins (Deluxe),Machine,"all my life i've been sitting at the table watching them kids, they're livin' in a fable looks, luck, money and never left a'wishin but now it's about time to raise up and petition  all of my life i've been sitting at the table watching them kids they're livin' in a fable looks, luck, money and never left a'wishin but now it's about time to stand up and petition  'cause i've been wondering when you're gonna see i'm not for sale i've been questioning when you're gonna see i'm not a part of your machine not a part of your machine ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
45,132,Imagine Dragons,Origins (Deluxe),Cool Out,"cool out, cool out  just before i go yes, i know that i'm losing control, and i wanna take things slow put my mind in cruise control  i know i'm always pacing and i blame it on the pressure i'm facing i wanna take things slow put my mind in cruise control  i'm standing on your front porch saying, ""don't go"" you were looking at me wild, saying, ""just go home and""  cool out 'cause baby, i don't think i'm the one for you so just, cool out 'cause baby, i don't think i'm the one for you so cool out, stay high, stay fresh, play nice and just, cool out ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
46,133,Imagine Dragons,Origins (Deluxe),Bad Liar,"oh, hush, my dear, it's been a difficult year and terrors don't prey on innocent victims trust me, darlin', trust me, darlin' it's been a loveless year, i'm a man of three fears integrity, faith and crocodile tears trust me, darlin', trust me, darlin'  so look me in the eyes, tell me what you see perfect paradise, tearin' at the seams i wish i could escape it, i don't wanna fake it wish i could erase it, make your heart believe  but i'm a bad liar, bad liar now you know, now you know i'm a bad liar, bad liar now you know, you're free to go ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
47,134,Imagine Dragons,Origins (Deluxe),West Coast,"one more day we'll spend together let your eyes look up upon me for the better oh, i know i'm worse for weather but my love i won't give up  spend my days cursing my soul wishing i could paint my scars and make me whole oh, i know i could be better but my love i won't give up  i ain't no superman, i ain't no holy ghost i'm just the one that keeps you up at night, you love the most i'll be your strong man, i'll be your west coast i'll be the sun, i'll be the waves, i'll be the one you love the most  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
48,135,Imagine Dragons,Origins (Deluxe),"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","i find it hard to say the things i wanna say the most find a little bit of steady as i get close find a balance in the middle of the chaos send me low, send me high, send me never demigod i remember walking in the cold of november hoping that i make it to the end of december 27 years and the end on my mind but holding to the thought of another time  but looking to the ways of the ones before me looking for the path of the young and lonely i don't wanna hear about what to do i don't wanna do it just to do it for you  hello, hello let me tell you what it's like to be a zero, zero let me show you what it's like to always feel, feel like i'm empty and there's nothing really real, real i'm looking for a way out  hello, hello let me tell you what it's like to be a zero, zero let me show you what it's like to never feel, feel like i'm good enough for anything that's real, real ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
49,136,Imagine Dragons,Origins (Deluxe),Bullet In A Gun,"the roman king, the romulus, the precipice born to change the final days, the last appraise augustus, nero taking names i'm high then i'm low, low stop then i go, go bipolar oh, oh yes then i'm no, no my time will come i promise that pull the trigger back, back bullet in a gun but in the end my time will come like a bullet in a gun blood, sweat and tears to be the one bullet in a gun, gun, gun, gun, gun, gun, gun bullet in a gun, gun, gun, gun, gun, gun, gun bullet in a gun  to make a name you pay the price ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
50,137,Imagine Dragons,Origins (Deluxe),Digital,"you know how we do  i want a new world without the order i wanna resurrect and live a little shorter i want it heavy, i want the fury i wanna beat it out the judge and the jury  from the outside, everything looks right from the outside, from the outside from the outside, everything looks right from the outside, from the outside  we are, we are the face of the future we are, we are the digital heartbeat we are, we are the face of the future we don't wanna change, we just wanna change everything  hey, hey, hey, hey, digital, digital hey, hey, hey, hey, digital heartbeat hey, hey, hey, hey, digital, digital we don't wanna change, we just wanna change everything ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
51,138,Imagine Dragons,Origins (Deluxe),Only,shake me up from the dreams life is only worth when you gave it away and when you're done you've learned there is nothing that's greater and there is nothing that weighs more  'cause you grow and you grow and with years you'll know there is only one thing in the end to show you do it wrong again and again 'til it's too late to stop and then  oo-oo-oo you look into their eyes oo-oo-oo but you can't stop your lies oo-oo-oo and then you're all alone at nights  all you wanted from me was a gift of love but for reasons unknown ...  ******* this lyrics is not for commercial use ******* (1409624953635)
52,139,Imagine Dragons,Origins (Deluxe),Stuck,"time goes by and still i am stuck on you yeah, time goes by and still i am stuck on you, you  i've been afraid, don't wanna fade out of my body i've been astray, barely awake, floating above me covered in grey, what can i say? i've been a zombie i'm feeling like i've been locked in a grave  you were the laugh, you were the life, you were the party you were the brave, i was the weak, you were the army you were the faith, you were the truth, i was the sorry i'm feeling like you've been taken away  you were my one, you were my one ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
53,140,Imagine Dragons,Origins (Deluxe),Love,shake me up from the dreams life is only worth when you gave it away and when you're done you've learned there is nothing that's greater and there is nothing that weighs more  'cause you grow and you grow and with years you'll know there is only one thing in the end to show you do it wrong again and again 'til it's too late to stop and then  oo-oo-oo you look into their eyes oo-oo-oo but you can't stop your lies oo-oo-oo and then you're all alone at nights  all you wanted from me was a gift of love but for reasons unknown ...  ******* this lyrics is not for commercial use ******* (1409624953635)
54,141,Imagine Dragons,Origins (Deluxe),Birds,"two hearts, one valve pumping the blood, we were the flood, we were the body, and two lives, one life sticking it out, letting you down, making it right  seasons, they will change, life will make you grow dreams will make you cry, cry, cry everything is temporary, everything will slide love will never die, die, die  i know that, ooh, birds fly in different directions ooh, i hope to see you again  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
55,142,Imagine Dragons,Origins (Deluxe),Burn Out,"patience's only gets you so far blood will get you further pain will only make your heart hard, tossed in fury's weather innocence is beautiful to see won't you box it up for me? for me  oh, give me strength and give me peace does any body out there want to you hear me?  it's just another downpour, don't let it get the best of you it's only up from the floor, light everything inside of you don't burn out, don't burn out on me don't burn out, don't burn out on me ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
56,143,Imagine Dragons,Origins (Deluxe),Real Life,"she says that the world is a broken mess and it's always on her mind  she cries at the news when the shots ring out oh, every single time  and no, i cannot fix it no, i cannot make it stop  so i said, ""hey, turn your phone off won't you look me in my eye? can't we live that real life, real life? oh, hey, turn your phone off won't you look me in my eye? can't we live that real life, real life?""  she prays on her knees as the towers fall to a god she does not know  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
57,144,Imagine Dragons,Evolve,Next To Me,"something about the way that you walked into my living room casually and confident lookin' at the mess i am but still you, still you want me  stress lines and cigarettes, politics, and deficits late bills and overages, screamin' and hollerin' but still you, still you want me  oh, i always let you down you're shattered on the ground still, i find you there next to me and oh, stupid things i do i'm far from good, it's true but still, i find you next to me ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
